Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_00020,Transcriptional regulator SpoVT/AbrB family,,-1.85189305856507,,"transcriptional regulator, antitoxin, SpoVT/AbrB family",['Transcription Machinery & Regulators'],Medium,Likely functions as transcriptional regulator and antitoxin; lacks KO and GO annotations; PFAM domain supports regulatory role; relevant for toxin-antitoxin system regulation.
BFJEKD_00960,AraC-type transcriptional regulator,,-2.40231966417847,,"transcriptional regulator, DNA binding, AraC family",['Secretion & Transport Systems'],High,Well-annotated AraC-type transcriptional regulator with strong DNA-binding and transcription regulation evidence; useful for grouping under transcription factors.
BFJEKD_01390,SUF system Fe-S cluster assembly regulator (IscR),,-2.55999060449829,,"transcriptional regulator, Fe-S cluster regulation, DNA-binding protein",['Mobile Genetic Elements & Plasmid'],High,"IscR regulates expression of Fe-S cluster assembly genes, linking Fe-S cluster status to transcriptional control."
BFJEKD_01610,ArsR family transcriptional regulator,K22042,-1.57428436841792,Two-component system,"transcriptional regulator, arsenic resistance, two-component system",['Signal Transduction'],High,Well-annotated transcriptional regulator involved in virulence and metal resistance regulation; useful for regulatory network analysis.
BFJEKD_01715,cAMP-binding transcriptional regulator CRP,K21563,-1.32505202980565,Two-component system,"transcription regulator, cAMP-binding, signal transduction, CRP family",['Secretion & Transport Systems'],High,Duplicate of BFJEKD_01710 with identical annotations and strong evidence. Useful for transcriptional regulation and signal transduction grouping.
BFJEKD_03040,LysR family transcriptional regulator,K03566,-1.55304844960994,Base excision repair,"transcription regulator, LysR family, gene expression control","['Cell Wall & Envelope Biogenesis', 'Membrane Transporter']",High,Well-annotated transcriptional regulator; important for regulatory network analysis.
BFJEKD_03780,"DNA-binding transcriptional regulator, MocR family",,-3.51260921870337,,"transcriptional regulator, MocR family, DNA-binding, aminotransferase domain, gene regulation",['Carbon Concentrating & Fixation'],Medium,No KO or EC assigned; GO terms and COG support transcriptional regulator function with aminotransferase domain. Useful for regulatory network analysis.
BFJEKD_03900,"Transcriptional regulator, HTH_31 family",K07726,-1.77694238309863,,"transcriptional regulator, DNA binding, regulation",['Cell Wall & Envelope Biogenesis'],Medium,KO and COG indicate transcriptional regulator function; limited GO terms but PFAM domain supports DNA-binding regulatory role. No EC number as expected.
BFJEKD_05470,LysR family transcriptional regulator,K03566,-1.50005048125009,Two-component system,"transcription regulator, LysR family, DNA binding, gene regulation",['Unknown & Hypothetical Proteins'],High,Well-annotated LysR-type transcriptional regulator involved in gene expression control; useful for regulatory network analysis.
BFJEKD_05960,"DNA-binding transcriptional regulator, Lrp family",,-1.61999297912582,,"transcriptional regulator, Lrp family, DNA binding",['Amino Acid Biosynthesis'],Medium,"No KO or GO terms assigned, but PFAM and COG indicate Lrp family transcriptional regulator. Useful for transcription regulation grouping."
BFJEKD_06230,CO-responsive transcriptional regulator RcoM,K21696,1.16873966951156,Two-component system,"transcriptional regulator, two-component system, signal transduction",['Amino Acid Biosynthesis'],High,Functionally characterized transcriptional regulator responsive to CO; important for regulatory network analyses.
BFJEKD_07465,"DNA-binding transcriptional regulator, MocR family",,-2.51857360425412,,"transcriptional regulator, MocR family, aminotransferase domain, DNA-binding",['Secretion & Transport Systems'],Medium,Annotation supported by COG and PFAM domains indicating a transcriptional regulator with enzymatic domain. No KO or EC limits pathway assignment. Useful for grouping under transcription regulation and amino acid metabolism.
BFJEKD_07495,Fur family transcriptional regulator,K03711,-1.59639144141642,Quorum sensing,"transcriptional regulator, metal ion homeostasis, Fur family, iron uptake regulation",['Protein Processing & Degradation'],High,Well-annotated Fur family regulator involved in metal ion homeostasis and quorum sensing regulation; important for iron metabolism and stress response.
BFJEKD_07555,transcription termination/antitermination protein NusA,K02600,-2.22166190657539,RNA polymerase,"transcription regulation, termination, antitermination, RNA binding",['Secretion & Transport Systems'],High,Well-annotated transcription factor involved in termination and antitermination; multiple RNA-binding domains; no EC as expected.
BFJEKD_08970,AraC-type DNA-binding domain-containing protein,,-3.359237083793,,"transcription regulator, DNA-binding, AraC family",['Polyhydroxyalkanoates & Storage Lipids'],High,"Well-annotated AraC family transcriptional regulator; important for gene expression control, useful for grouping under transcriptional regulation."
BFJEKD_11220,LysR family transcriptional regulator,,-2.34313711454882,,"transcription regulation, LysR family, DNA binding",['Polyhydroxyalkanoates & Storage Lipids'],High,Typical LysR-type transcriptional regulator involved in gene expression control; useful for grouping under transcription factors.
