Locus_Tag,Protein Name,log2FC,Tags_list,Subcategories,Confidence_Score,Notes,upstream_Locus_Tag,upstream_tags,downstream_Locus_Tag,downstream_tags
BFJEKD_00230,Hypothetical protein,-1.11981622333183,"hypothetical protein, unknown function","['Secretion & Transport Systems', 'Efflux Pumps']",Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_00225,"['hypothetical protein', 'unknown function']",BFJEKD_00235,"['transcriptional regulator', 'XRE family', 'DNA binding']"
BFJEKD_00595,DUF2442 domain-containing protein,-1.42519518048458,"unknown function, DUF2442",['Amino Acid Biosynthesis'],Low,No functional annotation available; protein contains DUF2442 domain of unknown function. Not suitable for functional grouping or DE analysis without further experimental data.,BFJEKD_00590,"['hypothetical protein', 'unknown function']",BFJEKD_00600,"['membrane transporter', 'ABC transporter', 'amino acid transport', 'substrate-binding protein']"
BFJEKD_01415,Hypothetical protein,-3.37612672776185,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available. Consider as unknown for grouping and DE analysis.,BFJEKD_01410,"['cellulose degradation', 'carbohydrate metabolism', 'extracellular enzyme']",BFJEKD_01420,['unknown function']
BFJEKD_01420,Hypothetical protein,-1.97509574600271,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available. Sequence does not match known domains or pathways.,BFJEKD_01415,['unknown function'],BFJEKD_01425,['unknown function']
BFJEKD_01425,Hypothetical protein,-1.8127059056137,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available.,BFJEKD_01420,['unknown function'],BFJEKD_01430,['unknown function']
BFJEKD_01445,Uncharacterized protein,-3.34687168253955,"unknown function, hypothetical protein",['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; likely a hypothetical protein with unknown function.,BFJEKD_01440,"['phage-related', 'viral protein', 'unknown function']",BFJEKD_01450,"['unknown function', 'hypothetical protein']"
BFJEKD_01455,Uncharacterized protein,-3.0408605826854,"unknown function, hypothetical protein",['Cell Division & Chromosome Partitioning'],Low,No functional annotation or domain detected; likely a hypothetical protein with unknown function.,BFJEKD_01450,"['unknown function', 'hypothetical protein']",BFJEKD_01460,"['hypothetical protein', 'unknown function']"
BFJEKD_01725,Uncharacterized protein,1.92049791601927,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation or domain detected; likely hypothetical protein with unknown function.,BFJEKD_01720,"['hydrolase', 'carbohydrate metabolism', 'putative enzyme']",BFJEKD_01730,"['methyltransferase', 'SAM-dependent methyltransferase']"
BFJEKD_01735,Hypothetical protein with putative maltose O-acetyltransferase activity,1.11005010718239,"hypothetical protein, putative acetyltransferase","['Cell Wall & Envelope Biogenesis', 'Membrane Transporter']",Low,No domain or KO detected; product name suggests maltose O-acetyltransferase activity but no supporting evidence.,BFJEKD_01730,"['methyltransferase', 'SAM-dependent methyltransferase']",BFJEKD_01740,"['hydrolase', 'alpha/beta hydrolase']"
BFJEKD_01750,DUF2249 domain-containing protein,-5.16405951377575,"DUF2249, unknown function",['Unknown & Hypothetical Proteins'],Low,"No functional annotation available; domain DUF2249 is uncharacterized, limiting functional inference.",BFJEKD_01745,"['glycerophosphodiester phosphodiesterase', 'phosphodiesterase', 'membrane-associated enzyme']",BFJEKD_01755,"['respiratory oxidase', 'electron transport', 'membrane protein']"
