Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_03555,Carbon starvation protein A (CstA),K06200,-6.56138416244649,ABC transporters,"membrane transporter, carbon starvation, stress response",['Toxin-Antitoxin & Phage Defense'],High,Well annotated transporter involved in carbon starvation response; important for stress-related expression analysis.
BFJEKD_05475,hypothetical protein,,-6.2336385160339,,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation or domain detected; excluded from functional grouping and DE analysis.
BFJEKD_03550,Formate acetyltransferase (Pyruvate formate lyase),K00656,-5.82538204306489,Pyruvate metabolism,"pyruvate metabolism, anaerobic fermentation, acetyltransferase, energy metabolism","['Protein Folding, Quality Control & Stress Response']",High,"Complete annotation with KO, EC, GO, COG, and PFAM domains consistent with pyruvate formate lyase function; suitable for grouping under anaerobic energy metabolism."
BFJEKD_15100,L-aspartate oxidase,K00278,-5.50723951463311,Nicotinate and nicotinamide metabolism,"NAD biosynthesis, oxidoreductase, energy metabolism, L-aspartate oxidation",['Unknown & Hypothetical Proteins'],High,Well-annotated enzyme involved in NAD biosynthesis and energy metabolism.
BFJEKD_15105,quinolinate synthase NadA,K03517,-5.21766967213577,Nicotinate and nicotinamide metabolism,"NAD biosynthesis, coenzyme metabolism, ligase enzyme",['Secretion & Transport Systems'],High,"Complete annotation with KO, EC, GO, and PFAM consistent; key enzyme in NAD biosynthesis pathway."
BFJEKD_05480,Permease of the drug/metabolite transporter (DMT) superfamily,,-5.03744979401629,,"membrane transporter, DMT superfamily, permease, solute transport",['Secretion & Transport Systems'],Medium,Predicted transporter of drug/metabolite substrates; no KO or EC available; important for transport-related functional grouping.
BFJEKD_03075,Permease of the drug/metabolite transporter (DMT) superfamily,,-4.57995972648689,,"membrane transporter, drug/metabolite transporter, DMT superfamily",['Gluconeogenesis & Fructose Metabolism Enzyme'],Medium,"Likely involved in transport of small molecules across membrane; no KO or EC assigned, but domain and COG support transporter function."
BFJEKD_10700,co-chaperone GroES,K04078,-4.51156057563831,Protein processing in endoplasmic reticulum,"molecular chaperone, protein folding, stress response",['Secretion & Transport Systems'],High,"GroES acts as a co-chaperone with GroEL, important for protein folding under stress; relevant for grouping with chaperone systems and stress response."
BFJEKD_02630,phasin,,-4.49619599529261,,"PHA granule-associated protein, carbon storage",['DNA Recombination & Repair'],Low,"No KO, EC, or GO terms; function inferred from PFAM and COG; likely involved in polyhydroxyalkanoate granule stabilization."
BFJEKD_05980,Amidinotransferase,,-4.12842436055153,,"amidinotransferase, amino acid metabolism, enzyme","['Protein Folding, Quality Control & Stress Response']",Medium,No KO or EC assigned; annotation based on PFAM and GO terms; likely involved in amino acid metabolism but function needs experimental confirmation.
BFJEKD_15095,carboxylating nicotinate-nucleotide diphosphorylase,K00767,-3.74139665318118,Nicotinate and nicotinamide metabolism,"NAD biosynthesis, nicotinate metabolism, carboxylase, coenzyme metabolism",['Unknown & Hypothetical Proteins'],High,Complete and consistent annotation; involved in NAD biosynthesis pathway.
BFJEKD_02490,"MFS transporter, ACDE family, multidrug resistance protein",K08221,-3.72763083003396,ABC transporters,"membrane transporter, multidrug resistance, stress response",['Unknown & Hypothetical Proteins'],High,"Annotation supported by KO, PFAM domains, and GO terms indicating a multidrug resistance MFS transporter with universal stress protein domain; suitable for grouping under membrane transport and stress response."
BFJEKD_12300,Efflux transporter periplasmic adaptor subunit AcrA,"K03585, K18901, K19595",-3.7259673823285002,"ABC transporters, Bacterial secretion system","multidrug efflux, membrane transporter, membrane fusion protein",['Polyhydroxyalkanoates & Storage Lipids'],High,Strong annotation with multiple KO terms related to efflux systems; key component of RND-type multidrug efflux pumps; useful for grouping under antibiotic resistance and membrane transport.
BFJEKD_16570,sel1 repeat family protein,,-3.6946573544426,,"protein-protein interaction, scaffold protein, repeat protein",['Unknown & Hypothetical Proteins'],Low,"Minimal annotation; no KO, EC, or PFAM domains; function inferred from GO term and product name; low confidence for functional grouping."
BFJEKD_14310,Anaerobic ribonucleoside-triphosphate reductase (NrdD),K21636,-3.69429271615375,DNA replication,"ribonucleotide reductase, anaerobic metabolism, DNA replication, NrdD",['Carbon Concentrating & Fixation'],High,"Complete annotation with KO, EC, COG, PFAM and GO; key enzyme for anaerobic DNA synthesis; important for grouping DNA replication and anaerobic metabolism proteins."
BFJEKD_10585,ABC transporter substrate-binding protein,K01999,-3.6883890997019,ABC transporters,"ABC transporter, amino acid transport, substrate-binding protein, membrane transporter",['Cell Wall & Envelope Biogenesis'],High,"Complete annotation with KO, COG, GO, and PFAM consistent for branched-chain amino acid transport; no EC number as expected for transport proteins."
BFJEKD_15590,Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG,K00297,-3.54073351656744,"Ubiquinone and other terpenoid-quinone biosynthesis, Folate biosynthesis","ubiquinone biosynthesis, methyltransferase, cofactor metabolism",['Amino Acid Biosynthesis'],Medium,KO corresponds to methylenetetrahydrofolate reductase; EC inferred from KO. Some GO terms may be general; protein likely multifunctional.
BFJEKD_08975,NAD(P)-dependent alcohol dehydrogenase,K05351,-3.53433168181654,"Pentose and glucuronate interconversions, Glycolysis / Gluconeogenesis","oxidoreductase, alcohol metabolism, NAD(P)-dependent enzyme",['Unknown & Hypothetical Proteins'],High,KO to EC mapping confirms EC number; involved in alcohol metabolism and energy production; relevant for metabolic pathway grouping.
BFJEKD_03780,"DNA-binding transcriptional regulator, MocR family",,-3.51260921870337,,"transcriptional regulator, MocR family, DNA-binding, aminotransferase domain, gene regulation",['Carbon Concentrating & Fixation'],Medium,No KO or EC assigned; GO terms and COG support transcriptional regulator function with aminotransferase domain. Useful for regulatory network analysis.
BFJEKD_15020,Alkyl hydroperoxide reductase subunit F (AhpF),K03387,-3.47287591690705,Glutathione metabolism,"oxidative stress response, peroxiredoxin, redox enzyme, antioxidant",['Secretion & Transport Systems'],High,"Strong annotation with KO, COG, PFAM, and extensive GO terms; key enzyme in peroxide detoxification; important for stress response grouping."
BFJEKD_12575,Nucleoside diphosphate kinase regulator (GreA/GreB family),K06140,-3.47036717183332,RNA polymerase,"transcription regulation, elongation factor, nucleotide metabolism",['Unknown & Hypothetical Proteins'],High,Functions as a transcription elongation factor and regulator of nucleoside diphosphate kinase; important for transcriptional regulation and nucleotide pool maintenance.
BFJEKD_12580,UDP-3-O-acyl-N-acetylglucosamine deacetylase (LpxC),K02535,-3.4556285536322,Lipopolysaccharide biosynthesis,"lipid A biosynthesis, lipopolysaccharide biosynthesis, metalloenzyme",['Unknown & Hypothetical Proteins'],High,"Key enzyme in lipid A biosynthesis, essential for outer membrane integrity; important for grouping in cell envelope and antibiotic target studies."
BFJEKD_08970,AraC-type DNA-binding domain-containing protein,,-3.359237083793,,"transcription regulator, DNA-binding, AraC family",['Polyhydroxyalkanoates & Storage Lipids'],High,"Well-annotated AraC family transcriptional regulator; important for gene expression control, useful for grouping under transcriptional regulation."
BFJEKD_15595,methylenetetrahydrofolate reductase [NAD(P)H],K00297,-3.29019704721929,Folate biosynthesis,"folate metabolism, methyltransferase, one-carbon metabolism",['Protein Processing & Degradation'],High,EC number 1.5.1.20 added from EC_2 field; KO and COG consistent. Important enzyme in folate and methionine metabolism.
BFJEKD_15155,hypothetical protein,,-3.23707719396698,,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; likely uncharacterized protein.
