Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_15040,Hydrogenase subunit HyfC (NADH dehydrogenase),K00337,5.39638152255926,"Oxidative phosphorylation, Carbon fixation pathways in prokaryotes","hydrogenase, NADH dehydrogenase, energy metabolism, oxidative phosphorylation",['Unknown & Hypothetical Proteins'],High,KO and EC consistent with NADH dehydrogenase function; extensive GO terms support role in energy metabolism and membrane localization.
BFJEKD_15050,4Fe-4S ferredoxin (NuoI subunit),,5.36310762745763,,"ferredoxin, iron-sulfur protein, electron transfer, energy metabolism",['Amino Acid Biosynthesis'],Medium,Typical iron-sulfur cluster protein involved in electron transfer; lacks KO and EC but COG and PFAM support function.
BFJEKD_15070,Anaerobic carbon-monoxide dehydrogenase catalytic subunit (cooS),K00198,5.32688870291409,Carbon fixation pathways in prokaryotes,"carbon monoxide dehydrogenase, catalytic subunit, energy metabolism, CO oxidation","['Protein Folding, Quality Control & Stress Response']",High,"Key catalytic subunit of anaerobic CO dehydrogenase complex, central to CO metabolism and energy conservation."
BFJEKD_15045,NADH-quinone oxidoreductase subunit B (mbhJ),K18023,5.13707808447974,Oxidative phosphorylation,"membrane-bound hydrogenase, NADH-quinone oxidoreductase, energy metabolism, oxidative phosphorylation",['Amino Acid Biosynthesis'],High,KO and EC confirm function as membrane-bound hydrogenase subunit; GO terms support electron transport and membrane localization.
BFJEKD_15075,Carbon monoxide dehydrogenase accessory protein CooC,K07321,4.82247208176936,,"CO dehydrogenase accessory protein, maturation factor, ATPase, protein assembly",['Toxin-Antitoxin & Phage Defense'],High,Accessory protein involved in maturation and assembly of CO dehydrogenase complex; important for enzyme functionality.
BFJEKD_02545,Transposase InsA,K07488,4.39942671052912,DNA transposase,"transposase, mobile genetic element, DNA transposition",['Cell Wall & Envelope Biogenesis'],High,KO and COG consistent with transposase function; no EC or GO terms but strong evidence from KO and COG.
BFJEKD_15065,Anaerobic carbon-monoxide dehydrogenase iron-sulfur subunit (cooF),"K00196, K05796",4.36958117759931,"Carbon fixation pathways in prokaryotes, Sulfur metabolism","iron-sulfur protein, electron transfer, CO dehydrogenase complex, energy metabolism",['Cell Wall & Envelope Biogenesis'],High,"Iron-sulfur cluster protein subunit of anaerobic CO dehydrogenase complex, essential for electron transfer."
BFJEKD_15055,NADH dehydrogenase subunit C (nuoC),K00336,4.24781194478347,Oxidative phosphorylation,"respiratory chain, membrane transporter, NADH dehydrogenase, energy metabolism",['Protein Processing & Degradation'],High,Subunit of respiratory complex I; involved in electron transport chain and proton translocation.
BFJEKD_15085,hypothetical protein,,4.15108054861465,,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence contains histidine-rich region possibly metal-binding but unconfirmed.
BFJEKD_15060,Carbon monoxide-induced hydrogenase subunit E (cooH),K14090,4.0760250401216,Sulfur metabolism,"hydrogenase, energy metabolism, NiFe hydrogenase, electron transfer",['Cell Wall & Envelope Biogenesis'],High,Nickel-dependent hydrogenase subunit involved in CO metabolism and energy conservation.
BFJEKD_15035,Multisubunit Na+/H+ antiporter subunit MnhD,,4.02415540983596,,"membrane transporter, Na+/H+ antiporter, ion transport",['Amino Acid Biosynthesis'],Medium,"Likely part of Na+/H+ antiporter complex; no KO or EC assigned, but PFAM and COG support transporter function."
BFJEKD_04665,Hypothetical protein,,3.67335037955484,,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation or domain information available; likely uncharacterized protein.
