Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_19115,DUF1127 domain-containing protein,,-7.78157391037883,,"uncharacterized protein, DUF1127",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation beyond DUF and COG unknown; low confidence; treat as hypothetical protein in analyses.
BFJEKD_11705,O-acetylhomoserine aminocarboxypropyltransferase,K01740,-7.61358783898376,Cysteine and methionine metabolism,"amino acid biosynthesis, cysteine metabolism, methionine metabolism, PLP-dependent enzyme",['Amino Acid Biosynthesis'],High,"Complete annotation with KO, EC, GO, and COG consistent with cysteine and methionine biosynthesis; suitable for grouping in sulfur amino acid metabolism."
BFJEKD_12160,EmrA/EmrK family multidrug efflux transporter periplasmic adaptor subunit,K03543,-7.01309424346098,ABC transporters,"membrane fusion protein, multidrug efflux, periplasmic adaptor, antibiotic resistance",['Unknown & Hypothetical Proteins'],High,Component of tripartite multidrug efflux system; critical for grouping in membrane transport and defense mechanisms.
BFJEKD_11710,2-oxobutyrate oxidase,,-6.85412848908276,,"oxidoreductase, iron-dependent enzyme, energy metabolism",['Unknown & Hypothetical Proteins'],Low,"No KO, EC, or GO terms available; annotation based on PFAM and COG only; functional inference limited to oxidoreductase activity."
BFJEKD_11715,aminotransferase,K14267,-6.55475148032656,Lysine biosynthesis,"amino acid biosynthesis, aminotransferase, lysine metabolism",['Amino Acid Biosynthesis'],High,"Complete annotation with KO, EC, GO, and COG; involved in lysine biosynthesis; useful for amino acid metabolism grouping."
BFJEKD_14710,ferritin-like domain-containing protein,,-6.31589379599373,,"iron storage, ferritin-like protein","['Protein Folding, Quality Control & Stress Response']",Medium,Annotated as ferritin-like protein involved in iron storage; no KO or EC; COG category supports iron metabolism function.
BFJEKD_11725,metal ABC transporter substrate-binding protein,K02073,-6.24256591510434,ABC transporters,"membrane transporter, ABC transporter, metal ion transport, substrate-binding protein",['Protein Processing & Degradation'],Medium,KO and COG support ABC transporter function; lack of GO and EC limits annotation completeness; relevant for transport-related grouping.
BFJEKD_11720,2-hydroxy-acid oxidase,K00102,-6.14071204955533,Oxidative phosphorylation,"oxidoreductase, electron transport, energy metabolism, FAD-dependent enzyme",['Amino Acid Biosynthesis'],High,Well-annotated enzyme involved in oxidative phosphorylation; important for energy metabolism grouping.
BFJEKD_12165,Fusaric acid resistance protein TolC,K18139,-6.13067771767288,ABC transporters,"multidrug efflux, outer membrane protein, membrane transporter",['Amino Acid Biosynthesis'],High,"TolC is a well-characterized outer membrane channel component of multidrug efflux systems, important for antibiotic resistance and efflux of toxic compounds."
BFJEKD_11700,Nitrogenase Mo-Fe protein NifD / coenzyme F430 biosynthesis subunit CfbD,K02586,-6.00343927733593,Nitrogen metabolism,"nitrogen fixation, oxidoreductase, iron-sulfur protein, energy metabolism",['Carbon Concentrating & Fixation'],High,KO and EC consistent; annotated as nitrogenase Mo-Fe protein subunit involved in nitrogen fixation.
