Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_05475,hypothetical protein,,-6.9336152841531,,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation or domain detected; excluded from functional grouping and DE analysis.
BFJEKD_15100,L-aspartate oxidase,K00278,-6.10560172228521,Nicotinate and nicotinamide metabolism,"NAD biosynthesis, oxidoreductase, energy metabolism, L-aspartate oxidation",['Unknown & Hypothetical Proteins'],High,Well-annotated enzyme involved in NAD biosynthesis and energy metabolism.
BFJEKD_05480,Permease of the drug/metabolite transporter (DMT) superfamily,,-5.75077279081465,,"membrane transporter, DMT superfamily, permease, solute transport",['Secretion & Transport Systems'],Medium,Predicted transporter of drug/metabolite substrates; no KO or EC available; important for transport-related functional grouping.
BFJEKD_15105,quinolinate synthase NadA,K03517,-5.6528423299183,Nicotinate and nicotinamide metabolism,"NAD biosynthesis, coenzyme metabolism, ligase enzyme",['Secretion & Transport Systems'],High,"Complete annotation with KO, EC, GO, and PFAM consistent; key enzyme in NAD biosynthesis pathway."
BFJEKD_03075,Permease of the drug/metabolite transporter (DMT) superfamily,,-5.15498403423595,,"membrane transporter, drug/metabolite transporter, DMT superfamily",['Gluconeogenesis & Fructose Metabolism Enzyme'],Medium,"Likely involved in transport of small molecules across membrane; no KO or EC assigned, but domain and COG support transporter function."
BFJEKD_05980,Amidinotransferase,,-4.8253214543145,,"amidinotransferase, amino acid metabolism, enzyme","['Protein Folding, Quality Control & Stress Response']",Medium,No KO or EC assigned; annotation based on PFAM and GO terms; likely involved in amino acid metabolism but function needs experimental confirmation.
BFJEKD_02630,phasin,,-4.62907381263882,,"PHA granule-associated protein, carbon storage",['DNA Recombination & Repair'],Low,"No KO, EC, or GO terms; function inferred from PFAM and COG; likely involved in polyhydroxyalkanoate granule stabilization."
BFJEKD_15095,carboxylating nicotinate-nucleotide diphosphorylase,K00767,-4.37917835018915,Nicotinate and nicotinamide metabolism,"NAD biosynthesis, nicotinate metabolism, carboxylase, coenzyme metabolism",['Unknown & Hypothetical Proteins'],High,Complete and consistent annotation; involved in NAD biosynthesis pathway.
BFJEKD_08975,NAD(P)-dependent alcohol dehydrogenase,K05351,-4.23593225881689,"Pentose and glucuronate interconversions, Glycolysis / Gluconeogenesis","oxidoreductase, alcohol metabolism, NAD(P)-dependent enzyme",['Unknown & Hypothetical Proteins'],High,KO to EC mapping confirms EC number; involved in alcohol metabolism and energy production; relevant for metabolic pathway grouping.
BFJEKD_12580,UDP-3-O-acyl-N-acetylglucosamine deacetylase (LpxC),K02535,-4.12465358794353,Lipopolysaccharide biosynthesis,"lipid A biosynthesis, lipopolysaccharide biosynthesis, metalloenzyme",['Unknown & Hypothetical Proteins'],High,"Key enzyme in lipid A biosynthesis, essential for outer membrane integrity; important for grouping in cell envelope and antibiotic target studies."
BFJEKD_10585,ABC transporter substrate-binding protein,K01999,-4.08656225926912,ABC transporters,"ABC transporter, amino acid transport, substrate-binding protein, membrane transporter",['Cell Wall & Envelope Biogenesis'],High,"Complete annotation with KO, COG, GO, and PFAM consistent for branched-chain amino acid transport; no EC number as expected for transport proteins."
BFJEKD_08970,AraC-type DNA-binding domain-containing protein,,-4.0764878020588,,"transcription regulator, DNA-binding, AraC family",['Polyhydroxyalkanoates & Storage Lipids'],High,"Well-annotated AraC family transcriptional regulator; important for gene expression control, useful for grouping under transcriptional regulation."
BFJEKD_15020,Alkyl hydroperoxide reductase subunit F (AhpF),K03387,-4.03974844330954,Glutathione metabolism,"oxidative stress response, peroxiredoxin, redox enzyme, antioxidant",['Secretion & Transport Systems'],High,"Strong annotation with KO, COG, PFAM, and extensive GO terms; key enzyme in peroxide detoxification; important for stress response grouping."
BFJEKD_15000,L-lactate dehydrogenase complex protein LldE,K18928,-3.67997226015208,Pyruvate metabolism,"oxidoreductase, lactate metabolism, energy production",['Polyhydroxyalkanoates & Storage Lipids'],Medium,KO indicates L-lactate dehydrogenase complex subunit; limited GO and EC data but domain and KO support oxidoreductase function; suitable for grouping in lactate metabolism.
BFJEKD_14310,Anaerobic ribonucleoside-triphosphate reductase (NrdD),K21636,-3.62689697911339,DNA replication,"ribonucleotide reductase, anaerobic metabolism, DNA replication, NrdD",['Carbon Concentrating & Fixation'],High,"Complete annotation with KO, EC, COG, PFAM and GO; key enzyme for anaerobic DNA synthesis; important for grouping DNA replication and anaerobic metabolism proteins."
BFJEKD_05975,Ornithine--oxo-acid transaminase,K00819,-3.58774022197315,"Glycine, serine and threonine metabolism, Arginine and proline metabolism","amino acid metabolism, transaminase, ornithine metabolism",['Cell Wall & Envelope Biogenesis'],High,"Complete and consistent annotation with KO, EC, GO, COG, and PFAM; relevant for amino acid biosynthesis and metabolism studies."
BFJEKD_12575,Nucleoside diphosphate kinase regulator (GreA/GreB family),K06140,-3.45323732163334,RNA polymerase,"transcription regulation, elongation factor, nucleotide metabolism",['Unknown & Hypothetical Proteins'],High,Functions as a transcription elongation factor and regulator of nucleoside diphosphate kinase; important for transcriptional regulation and nucleotide pool maintenance.
BFJEKD_14865,DEAD/DEAH box helicase,K05592,-3.38005765153904,RNA degradation,"RNA helicase, RNA metabolism, ATP-dependent enzyme",['Amino Acid Biosynthesis'],High,KO and EC consistent; well-characterized helicase involved in RNA processing.
BFJEKD_00740,Permease subunit MlaE of the ABC-type intermembrane phospholipid transporter Mla,K02066,-3.33924974299219,ABC transporters,"ABC transporter, phospholipid transport, membrane permease",['DNA Recombination & Repair'],High,Complete annotation with KO and GO terms consistent with ABC-type phospholipid transporter permease function; useful for membrane transport grouping.
BFJEKD_08965,xylulokinase,K00854,-3.32462763771978,"Glycolysis / Gluconeogenesis, Pentose and glucuronate interconversions","carbohydrate metabolism, kinase, xylulose metabolism",['Cell Wall & Envelope Biogenesis'],High,"Complete and consistent annotation with KO, EC, GO, COG, and PFAM; key enzyme in pentose metabolism."
BFJEKD_03715,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,K04042,-3.31465102321968,Amino sugar and nucleotide sugar metabolism,"amino sugar biosynthesis, acetyltransferase, nucleotide sugar metabolism",['Protein Processing & Degradation'],High,Bifunctional enzyme catalyzing key steps in UDP-GlcNAc biosynthesis; strong domain and ontology support.
BFJEKD_00145,TraK family protein,,-3.30902255834227,,"conjugation, plasmid transfer, type IV secretion system",['Mobile Genetic Elements & Plasmid'],Low,"No KO, GO, COG or PFAM annotations; product name suggests role in conjugative plasmid transfer."
BFJEKD_10155,Organic hydroperoxide reductase OsmC/OhrA,K04063,-3.29937019060154,Glutathione metabolism,"peroxiredoxin, antioxidant, oxidative stress response",['Secretion & Transport Systems'],High,KO K04063 and EC 1.11.1.28 confirm peroxiredoxin function. OsmC domain supports antioxidant role. Important for stress response grouping.
BFJEKD_02325,Methyl-accepting chemotaxis protein (MCP),K03406,-3.29212661429239,Bacterial chemotaxis,"chemotaxis, signal transduction, membrane receptor",['Motility & Chemotaxis'],High,Well-annotated MCP involved in bacterial chemotaxis. KO and GO terms support function. Important for grouping motility-related genes.
BFJEKD_17570,ATP-dependent RNA helicase RhlE,K11927,-3.24796156744066,RNA degradation,"RNA helicase, RNA metabolism, ATP-dependent enzyme",['Amino Acid Biosynthesis'],High,Complete and consistent annotation; important for RNA processing and degradation pathways.
BFJEKD_19445,DUF269 domain-containing protein,,-3.23970089184973,,"unknown function, DUF269",['Amino Acid Biosynthesis'],Low,No functional annotation available; domain of unknown function; treat as uncharacterized in downstream analyses.
BFJEKD_14995,L-lactate dehydrogenase complex protein LldF,K18929,-3.14833239829572,Pyruvate metabolism,"lactate metabolism, oxidoreductase complex, iron-sulfur protein",['Cell Wall & Envelope Biogenesis'],High,KO and GO terms support role in lactate metabolism; presence of Fe-S cluster domains consistent with electron transfer; good candidate for energy metabolism grouping.
BFJEKD_15015,Hypothetical protein with HicB domain,,-3.08719758019161,,"toxin-antitoxin system, antitoxin, transcriptional regulation",['Secretion & Transport Systems'],Low,Hypothetical protein with HicB domain suggests antitoxin function; limited annotation; useful for grouping toxin-antitoxin related genes.
BFJEKD_14100,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,K00783,-3.07286347454906,Aminoacyl-tRNA biosynthesis,"RNA modification, methyltransferase, ribosomal RNA, translation regulation",['Polyhydroxyalkanoates & Storage Lipids'],High,"Well-annotated RNA methyltransferase involved in rRNA modification, important for ribosome function and translation regulation. Useful for grouping in RNA processing and translation-related analyses."
BFJEKD_03535,phosphate acetyltransferase,"K00029, K00625, K13788",-3.03899101089523,"Pyruvate metabolism, Propanoate metabolism","acetate metabolism, energy production, transferase",['Protein Processing & Degradation'],High,Multiple KO terms suggest possible multifunctionality; EC and GO terms consistent with phosphate acetyltransferase activity in energy metabolism.
