Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_00020,Transcriptional regulator SpoVT/AbrB family,,-2.29214225112422,,"transcriptional regulator, antitoxin, SpoVT/AbrB family",['Transcription Machinery & Regulators'],Medium,Likely functions as transcriptional regulator and antitoxin; lacks KO and GO annotations; PFAM domain supports regulatory role; relevant for toxin-antitoxin system regulation.
BFJEKD_00235,XRE family transcriptional regulator (HipB),,-1.68200096035188,,"transcriptional regulator, XRE family, DNA binding","['Cell Wall & Envelope Biogenesis', 'Secretion & Transport Systems']",High,Well-supported transcriptional regulator with multiple HTH domains; relevant for regulatory network analyses.
BFJEKD_00360,Transcriptional regulator with PAS/PAC domain,,-1.49033731324871,,"transcriptional regulator, PAS domain, signal transduction",['Signal Transduction'],Low,"No KO, GO, COG, or PFAM annotations available; function inferred from product name and sequence features; useful for tentative grouping under transcriptional regulators."
BFJEKD_00525,HTH-type transcriptional regulator CbbR,K21703,-3.46459717352562,,"transcriptional regulator, LysR family, CO2 response regulator",['Pentose Phosphate & Sugar Interconversions'],High,Regulates expression of Calvin cycle genes including cbb operon; important for CO2-responsive transcriptional control.
BFJEKD_00725,"Transcriptional regulator, XRE family",K15773,-1.36858891013402,,"transcriptional regulator, XRE family, DNA binding",['Cofactors & Vitamin Metabolism'],Medium,"XRE family transcriptional regulator, likely involved in gene expression control; lacks COG and EC annotations."
BFJEKD_00735,"DNA-binding protein, AcrR family",,2.49898342956037,,"transcriptional regulator, AcrR family, DNA binding, gene expression control",['Transcription Machinery & Regulators'],Medium,TetR family transcriptional regulator involved in gene expression regulation; no KO or EC assigned.
BFJEKD_00775,Putative DNA-binding transcriptional regulator YobV (HTH and WYL domains),,1.20690225359245,,"transcriptional regulator, DNA binding, HTH domain, WYL domain",['Mobile Genetic Elements & Plasmid'],Medium,Likely a transcriptional regulator with DNA-binding HTH and WYL domains; no KO or GO terms assigned but domain and COG support regulatory function.
BFJEKD_00920,HTH-type transcriptional regulator / antitoxin HigA,K18831,-1.63802957989756,,"transcriptional regulator, toxin-antitoxin system, HTH domain",['Phosphate Metabolism & Polyphosphate'],High,Well-annotated transcriptional regulator with HTH domain; likely functions as antitoxin HigA in toxin-antitoxin system; important for regulatory network analysis.
BFJEKD_01390,SUF system Fe-S cluster assembly regulator (IscR),,-1.66885351617181,,"transcriptional regulator, Fe-S cluster regulation, DNA-binding protein",['Mobile Genetic Elements & Plasmid'],High,"IscR regulates expression of Fe-S cluster assembly genes, linking Fe-S cluster status to transcriptional control."
BFJEKD_01600,XRE family transcriptional regulator,K23779,3.59541309022565,Two-component system,"transcriptional regulator, XRE family, gene regulation",['Secretion & Transport Systems'],High,"Strong evidence from KO, GO, COG, and PFAM; important for regulatory network grouping."
BFJEKD_01850,DNA-directed RNA polymerase subunit alpha,K03040,3.16880917480066,RNA polymerase,"transcription, RNA polymerase, genetic information processing",['Unknown & Hypothetical Proteins'],High,"Complete and consistent annotation with KO, EC, GO, COG, and PFAM domains supporting role in transcription machinery. Suitable for grouping under transcription-related functions."
BFJEKD_02030,transcription termination/antitermination protein NusG,K02601,3.09076684231308,RNA polymerase,"transcription, transcription regulation, RNA polymerase, elongation factor",['Mobile Genetic Elements & Plasmid'],High,Key transcription elongation and termination factor; important for transcriptional regulation studies.
BFJEKD_02115,TetR/AcrR family transcriptional regulator,,2.61879293353952,,"transcriptional regulator, TetR family, gene regulation","['Carbohydrate Interconversions', 'Glycosyltransferases', 'Cell Wall & Envelope Biogenesis']",Medium,No KO or EC; annotation based on COG and PFAM; typical TetR family regulator involved in transcriptional control.
BFJEKD_02455,"DNA-binding transcriptional regulator, LysR family",K04761,-2.20525035798022,Two-component system,"transcriptional regulator, LysR family, DNA-binding protein","['Protein Folding, Quality Control & Stress Response']",High,Strong evidence for LysR-type transcriptional regulator. Important for regulatory network analysis.
BFJEKD_02625,"DNA-binding protein, AcrR family",,1.65774390200594,,"transcriptional regulator, DNA-binding protein, TetR family",['Mobile Genetic Elements & Plasmid'],Medium,Lacks KO and EC; annotation based on COG and PFAM domain; typical TetR family transcriptional regulator.
BFJEKD_02775,RNA polymerase-binding protein DksA,K06204,1.67763560290257,RNA polymerase,"transcription regulation, RNA polymerase binding, amino acid biosynthesis regulation",['Unknown & Hypothetical Proteins'],High,Key transcription factor modulating rRNA and amino acid biosynthesis gene expression.
BFJEKD_02855,TetR family transcriptional regulator AcrR,K09017,-2.29618701394937,Two-component system,"transcriptional regulator, TetR family, two-component system, antibiotic resistance",['Secretion & Transport Systems'],High,Well-annotated transcriptional regulator with KO and GO terms; involved in regulation of antibiotic resistance genes.
BFJEKD_02995,DUF2384 domain-containing transcriptional regulator,,-3.20928933273328,,"transcriptional regulator, DNA binding",['Secretion & Transport Systems'],Medium,"GO term supports DNA binding function; no KO, EC, or COG available; DUF2384 domain suggests regulatory role."
BFJEKD_03570,"GntR family transcriptional regulator (MocR family, 2-aminoadipate transaminase-like)",K05825,-2.19789083298469,"Valine, leucine and isoleucine degradation","transcriptional regulator, GntR family, aminotransferase-related, amino acid metabolism",['Polyhydroxyalkanoates & Storage Lipids'],High,KO and EC support aminotransferase-related regulatory function; relevant for amino acid metabolism and transcriptional regulation studies.
BFJEKD_03780,"DNA-binding transcriptional regulator, MocR family",,-2.18246574582638,,"transcriptional regulator, MocR family, DNA-binding, aminotransferase domain, gene regulation",['Carbon Concentrating & Fixation'],Medium,No KO or EC assigned; GO terms and COG support transcriptional regulator function with aminotransferase domain. Useful for regulatory network analysis.
BFJEKD_03870,YqgE/AlgH family protein,K07735,-1.16154206219802,,"transcriptional regulator, cytosolic protein, regulation",['Carbon Concentrating & Fixation'],High,KO K07735 corresponds to a putative transcriptional regulator; COG1678 confirms transcription function. No EC assigned as expected. Useful for grouping under transcriptional regulation.
BFJEKD_03925,AsnC family transcriptional regulator Lrp,K03719,-1.33311137443565,Two-component system,"transcriptional regulator, DNA-binding, gene expression control",['Cell Wall & Envelope Biogenesis'],High,Lrp/AsnC family regulator involved in global transcriptional regulation and amino acid metabolism.
BFJEKD_03985,Transcriptional regulator (addiction module antidote protein),,-1.51258660587031,,"toxin-antitoxin system, transcriptional regulator, DNA binding",['Protein Processing & Degradation'],Medium,Limited annotation; GO term supports DNA binding function consistent with transcriptional regulator role in toxin-antitoxin systems.
BFJEKD_04215,AraC family transcriptional regulator,,-3.1482086280619,,"transcriptional regulator, AraC family, DNA binding, gene expression control",['Secretion & Transport Systems'],High,"Strong evidence from GO, COG, and PFAM; typical AraC family regulator involved in transcriptional control."
BFJEKD_04445,"Transcriptional regulator, TetR family",,-1.80546224858259,,"transcriptional regulator, TetR family, DNA binding, gene expression regulation",['Cell Wall & Envelope Biogenesis'],Medium,No KO or COG assigned; strong evidence from PFAM and GO for transcriptional regulation.
BFJEKD_04555,CopG family transcriptional regulator,K18918,-1.15624190588198,,"transcriptional regulator, DNA binding, regulation",['Cell Wall & Envelope Biogenesis'],High,Typical RHH-type transcriptional regulator; relevant for gene expression control analyses.
BFJEKD_05030,"RNA polymerase sigma-70 factor, ECF subfamily",K03088,-2.05633281241091,RNA polymerase,"transcription regulation, sigma factor, RNA polymerase",['Secretion & Transport Systems'],High,ECF sigma factor involved in transcription initiation; strong evidence from KO and PFAM domains.
BFJEKD_05470,LysR family transcriptional regulator,K03566,-1.79494413930467,Two-component system,"transcription regulator, LysR family, DNA binding, gene regulation",['Unknown & Hypothetical Proteins'],High,Well-annotated LysR-type transcriptional regulator involved in gene expression control; useful for regulatory network analysis.
BFJEKD_05620,XRE family transcriptional regulator DicA (HipB homolog),,1.27410177836789,,"transcriptional regulator, XRE family, DNA binding, regulation of gene expression","['Protein Folding, Quality Control & Stress Response']",High,Well-annotated XRE family transcriptional regulator involved in transcriptional repression; useful for grouping under transcriptional regulators and DNA-binding proteins.
BFJEKD_05720,TetR/AcrR family transcriptional regulator,,-3.14064400156799,,"transcriptional regulator, TetR family, DNA binding, regulation",['Toxin-Antitoxin & Phage Defense'],High,Well-annotated TetR family transcriptional regulator; no KO or EC but strong GO and COG support; useful for regulatory network analysis.
BFJEKD_05850,PadR family transcriptional regulator,K10947,-2.36525828552662,Two-component system,"transcriptional regulator, PadR family, two-component system",['Carbon Concentrating & Fixation'],High,KO and COG consistent with PadR family transcriptional regulator; involved in regulation of gene expression.
BFJEKD_05945,cAMP-binding domain of CRP (cAMP receptor protein),,1.23909805255997,,"transcriptional regulator, cAMP-binding, signal transduction",['Amino Acid Biosynthesis'],Medium,No KO or EC assigned; annotation based on PFAM and GO terms indicating CRP family transcriptional regulator. Useful for grouping under transcriptional regulation and signal transduction.
BFJEKD_05960,"DNA-binding transcriptional regulator, Lrp family",,1.62273748026048,,"transcriptional regulator, Lrp family, DNA binding",['Amino Acid Biosynthesis'],Medium,"No KO or GO terms assigned, but PFAM and COG indicate Lrp family transcriptional regulator. Useful for transcription regulation grouping."
BFJEKD_05985,AsnC family transcriptional regulator,,-2.92933928547005,,"transcriptional regulator, AsnC family, DNA binding",['Toxin-Antitoxin & Phage Defense'],High,Well annotated transcriptional regulator with characteristic PFAM domains; important for gene expression regulation studies.
BFJEKD_06060,"DNA-binding transcriptional regulator, MarR family",K06075,-3.18922150461831,Two-component system,"transcriptional regulator, MarR family, stress response",['Cell Wall & Envelope Biogenesis'],High,Well-annotated transcriptional regulator involved in antibiotic resistance and stress response.
BFJEKD_06760,Transcription termination factor Rho,K03628,2.50959476398564,RNA polymerase,"transcription termination, RNA binding, ATPase, gene expression regulation",['Unknown & Hypothetical Proteins'],High,Well-characterized transcription termination factor with strong domain and GO support; no EC assigned as it is not an enzyme classified by EC.
BFJEKD_06875,heat-inducible transcriptional repressor HrcA,K03705,-2.83741006773251,Two-component system,"transcriptional regulator, heat shock response, stress response, negative regulator",['Cell Wall & Envelope Biogenesis'],High,Clear function as a heat shock transcriptional repressor with strong domain and GO support; no EC as expected for a regulator.
BFJEKD_07090,"DNA-binding transcriptional regulator, Lrp family",K03719,1.80119201380061,Transcription machinery,"transcriptional regulator, DNA binding, Lrp family",['Unknown & Hypothetical Proteins'],High,KO and GO terms strongly support function as leucine-responsive transcriptional regulator.
BFJEKD_07465,"DNA-binding transcriptional regulator, MocR family",,-2.07348821612172,,"transcriptional regulator, MocR family, aminotransferase domain, DNA-binding",['Secretion & Transport Systems'],Medium,Annotation supported by COG and PFAM domains indicating a transcriptional regulator with enzymatic domain. No KO or EC limits pathway assignment. Useful for grouping under transcription regulation and amino acid metabolism.
BFJEKD_07535,"Transcriptional regulator, XRE-family HTH domain",,-2.07669473246477,,"transcriptional regulator, XRE family, DNA binding, HTH domain",['Unknown & Hypothetical Proteins'],Medium,Lacks KO and EC; annotation based on domain and GO DNA binding. Suitable for grouping under transcriptional regulators.
BFJEKD_07555,transcription termination/antitermination protein NusA,K02600,1.90939466033726,RNA polymerase,"transcription regulation, termination, antitermination, RNA binding",['Secretion & Transport Systems'],High,Well-annotated transcription factor involved in termination and antitermination; multiple RNA-binding domains; no EC as expected.
BFJEKD_07600,Transcriptional repressor Fur family,K09826,-2.26503777911881,Iron homeostasis,"transcriptional regulator, metal ion homeostasis, iron response, DNA-binding protein","['Protein Folding, Quality Control & Stress Response']",High,Well-annotated Fur family regulator; key for iron metabolism regulation; important for grouping transcription factors and metal ion response.
BFJEKD_07780,MarR family transcriptional regulator,K23775,-2.54450297214842,,"transcriptional regulator, MarR family, stress response, DNA-binding protein","['Protein Folding, Quality Control & Stress Response']",High,Key regulator of multiple antibiotic resistance and oxidative stress response; relevant for regulatory network analysis.
BFJEKD_08075,CarD family transcriptional regulator,K07736,1.73660529206158,Two-component system,"transcriptional regulator, CarD family, rRNA transcription regulation",['Unknown & Hypothetical Proteins'],High,Well-annotated transcriptional regulator involved in rRNA transcription control; relevant for gene expression regulation studies.
BFJEKD_08195,Protein SlyX-like,K03745,1.68645708928535,Two-component system,"two-component system, transcriptional regulator",['Amino Acid Biosynthesis'],Medium,SlyX is a known transcriptional regulator in two-component systems; KO assignment supports regulatory function despite missing GO terms.
