Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_00020,Transcriptional regulator SpoVT/AbrB family,,-2.55756534670263,,"transcriptional regulator, antitoxin, SpoVT/AbrB family",['Transcription Machinery & Regulators'],Medium,Likely functions as transcriptional regulator and antitoxin; lacks KO and GO annotations; PFAM domain supports regulatory role; relevant for toxin-antitoxin system regulation.
BFJEKD_00360,Transcriptional regulator with PAS/PAC domain,,-1.11261299274778,,"transcriptional regulator, PAS domain, signal transduction",['Signal Transduction'],Low,"No KO, GO, COG, or PFAM annotations available; function inferred from product name and sequence features; useful for tentative grouping under transcriptional regulators."
BFJEKD_00525,HTH-type transcriptional regulator CbbR,K21703,-2.57146360831376,,"transcriptional regulator, LysR family, CO2 response regulator",['Pentose Phosphate & Sugar Interconversions'],High,Regulates expression of Calvin cycle genes including cbb operon; important for CO2-responsive transcriptional control.
BFJEKD_00725,"Transcriptional regulator, XRE family",K15773,-1.19417490811651,,"transcriptional regulator, XRE family, DNA binding",['Cofactors & Vitamin Metabolism'],Medium,"XRE family transcriptional regulator, likely involved in gene expression control; lacks COG and EC annotations."
BFJEKD_00775,Putative DNA-binding transcriptional regulator YobV (HTH and WYL domains),,1.60635447515546,,"transcriptional regulator, DNA binding, HTH domain, WYL domain",['Mobile Genetic Elements & Plasmid'],Medium,Likely a transcriptional regulator with DNA-binding HTH and WYL domains; no KO or GO terms assigned but domain and COG support regulatory function.
BFJEKD_01390,SUF system Fe-S cluster assembly regulator (IscR),,-1.79519724555554,,"transcriptional regulator, Fe-S cluster regulation, DNA-binding protein",['Mobile Genetic Elements & Plasmid'],High,"IscR regulates expression of Fe-S cluster assembly genes, linking Fe-S cluster status to transcriptional control."
BFJEKD_01600,XRE family transcriptional regulator,K23779,4.30832681962157,Two-component system,"transcriptional regulator, XRE family, gene regulation",['Secretion & Transport Systems'],High,"Strong evidence from KO, GO, COG, and PFAM; important for regulatory network grouping."
BFJEKD_02115,TetR/AcrR family transcriptional regulator,,2.10918876501717,,"transcriptional regulator, TetR family, gene regulation","['Carbohydrate Interconversions', 'Glycosyltransferases', 'Cell Wall & Envelope Biogenesis']",Medium,No KO or EC; annotation based on COG and PFAM; typical TetR family regulator involved in transcriptional control.
BFJEKD_02455,"DNA-binding transcriptional regulator, LysR family",K04761,-1.8081552300461,Two-component system,"transcriptional regulator, LysR family, DNA-binding protein","['Protein Folding, Quality Control & Stress Response']",High,Strong evidence for LysR-type transcriptional regulator. Important for regulatory network analysis.
BFJEKD_02775,RNA polymerase-binding protein DksA,K06204,1.89856225281995,RNA polymerase,"transcription regulation, RNA polymerase binding, amino acid biosynthesis regulation",['Unknown & Hypothetical Proteins'],High,Key transcription factor modulating rRNA and amino acid biosynthesis gene expression.
