Locus_Tag,Protein Name,log2FC,Tags_list,Subcategories,Confidence_Score,Notes,upstream_Locus_Tag,upstream_tags,downstream_Locus_Tag,downstream_tags
BFJEKD_00785,Uncharacterized protein,2.13695889861649,"hypothetical protein, unknown function",['Mobile Genetic Elements & Plasmid'],Low,No functional annotation available; sequence alone insufficient for confident functional prediction.,BFJEKD_00780,"['anion transporter', 'Na+/H+ antiporter', 'membrane transporter', 'ion transport']",BFJEKD_00790,"['hypothetical protein', 'unknown function']"
BFJEKD_02715,Hypothetical membrane protein,2.23173005115676,"membrane protein, hypothetical",['Aromatic Amino Acid Biosynthesis'],Low,No functional annotation available; predicted membrane localization based on hydrophobic sequence pattern; treat as unknown for grouping and DE analysis.,BFJEKD_02710,"['flagellar motor', 'motility', 'membrane protein']",BFJEKD_02720,"['two-component system', 'chemotaxis', 'phosphatase']"
BFJEKD_04610,DUF423 domain-containing protein,-1.20127069826765,"membrane protein, unknown function, DUF domain",['Amino Acid Biosynthesis'],Medium,Protein contains a DUF423 domain with membrane localization GO terms; no KO or EC; function unknown but likely membrane-associated; useful to track as unknown membrane protein in expression studies.,BFJEKD_04605,"['two-component system', 'signal transduction', 'response regulator', 'chemotaxis']",BFJEKD_04615,"['hypothetical protein', 'unknown function']"
BFJEKD_05760,DUF3422 domain-containing protein,1.01639019535193,"unknown function, DUF3422",['Carbon Concentrating & Fixation'],Low,"No KO, EC, or GO annotations available. Only domain of unknown function (DUF3422) and COG category indicating unknown function. Annotation incomplete; treat as uncharacterized protein.",BFJEKD_05755,"['tryptophan biosynthesis', 'amino acid metabolism', 'isomerase']",BFJEKD_05765,"['phosphotransferase', 'antibiotic resistance', 'aminoglycoside modification', 'kinase activity']"
BFJEKD_06105,Hypothetical protein,1.48493407937804,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; remains hypothetical.,BFJEKD_06100,"['signal transduction', 'cAMP metabolism', 'phosphodiesterase']",BFJEKD_06110,"['two-component system', 'chemotaxis', 'signal transduction']"
BFJEKD_07395,DUF2889 domain-containing protein,-1.77844759552039,"hypothetical protein, DUF2889",['Amino Acid Biosynthesis'],Low,"Function unknown; domain of unknown function, no clear pathway or activity assigned.",BFJEKD_07390,"['regulatory protein', 'CBS domain', 'signal transduction']",BFJEKD_07400,"['ribosomal protein', 'translation', 'protein biosynthesis']"
BFJEKD_09020,DUF2971 domain-containing protein,-2.46809845730499,"unknown function, DUF2971",['Amino Acid Biosynthesis'],Low,No functional annotation available beyond DUF2971 domain; treat as uncharacterized protein in grouping and DE analysis.,BFJEKD_09015,"['selenoprotein', 'unknown function']",BFJEKD_09025,"['tRNA', 'translation']"
BFJEKD_11560,DUF4167 domain-containing protein,-1.89898729601742,"unknown function, DUF4167","['Protein Folding, Quality Control & Stress Response']",Low,No functional annotation available; domain of unknown function. Consider as uncharacterized in downstream analyses.,BFJEKD_11555,"['translation release factor modification', 'methyltransferase', 'posttranslational modification']",BFJEKD_11565,"['chaperone', 'stress response', 'protein folding', 'ATPase']"
BFJEKD_12235,Uncharacterized protein,-2.21100030208818,unknown function,['Secretion & Transport Systems'],Low,No annotation or domain information available; sequence does not match known conserved domains.,BFJEKD_12230,"['peptidoglycan binding', 'cell wall biogenesis', 'DUF4384']",BFJEKD_12240,['unknown function']
BFJEKD_12240,Uncharacterized protein,-2.38290193651248,unknown function,['Carbon Concentrating & Fixation'],Low,No annotation or domain information available; sequence does not match known conserved domains.,BFJEKD_12235,['unknown function'],BFJEKD_12245,['unknown function']
BFJEKD_12245,Uncharacterized protein,-2.4516179042947,unknown function,['Amino Acid Biosynthesis'],Low,No annotation or domain information available; sequence does not match known conserved domains.,BFJEKD_12240,['unknown function'],BFJEKD_12250,"['hydrolase', 'esterase', 'enzyme activity']"
BFJEKD_14210,Hypothetical protein,-1.85513814166826,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM data.",BFJEKD_14205,"['transcriptional regulator', 'DNA binding', 'GntR family']",BFJEKD_14215,"['hypothetical protein', 'unknown function']"
