Locus_Tag,Protein Name,log2FC,Tags_list,Subcategories,Confidence_Score,Notes,upstream_Locus_Tag,upstream_tags,downstream_Locus_Tag,downstream_tags
BFJEKD_00790,Uncharacterized protein,5.16244699396348,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation available; sequence alone insufficient for confident functional prediction.,BFJEKD_00785,"['hypothetical protein', 'unknown function']",BFJEKD_00795,"['amino acid biosynthesis', 'serine biosynthesis', 'dehydrogenase', 'metabolism']"
BFJEKD_01220,DUF488 domain-containing protein,-2.35065534203429,"hypothetical protein, DUF488, unknown function",['Secretion & Transport Systems'],Low,Contains DUF488 domain and COG5483 (unknown function); no KO or GO terms; function remains uncharacterized.,BFJEKD_01215,"['membrane transporter', 'MFS transporter', 'major facilitator superfamily']",BFJEKD_01225,"['circadian clock', 'ATPase', 'signal transduction', 'circadian rhythm']"
BFJEKD_01415,Hypothetical protein,-3.57935043561193,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available. Consider as unknown for grouping and DE analysis.,BFJEKD_01410,"['cellulose degradation', 'carbohydrate metabolism', 'extracellular enzyme']",BFJEKD_01420,['unknown function']
BFJEKD_01420,Hypothetical protein,-3.49032649215269,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available. Sequence does not match known domains or pathways.,BFJEKD_01415,['unknown function'],BFJEKD_01425,['unknown function']
BFJEKD_01425,Hypothetical protein,-4.14104886669202,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available.,BFJEKD_01420,['unknown function'],BFJEKD_01430,['unknown function']
BFJEKD_01430,Hypothetical protein,-4.60864058530249,unknown function,['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain information available.,BFJEKD_01425,['unknown function'],BFJEKD_01435,"['unknown function', 'hypothetical protein']"
BFJEKD_01445,Uncharacterized protein,-4.30681171201697,"unknown function, hypothetical protein",['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; likely a hypothetical protein with unknown function.,BFJEKD_01440,"['phage-related', 'viral protein', 'unknown function']",BFJEKD_01450,"['unknown function', 'hypothetical protein']"
BFJEKD_01450,Uncharacterized protein,-4.79796595087257,"unknown function, hypothetical protein",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence does not match known PFAM domains.,BFJEKD_01445,"['unknown function', 'hypothetical protein']",BFJEKD_01455,"['unknown function', 'hypothetical protein']"
BFJEKD_01455,Uncharacterized protein,-4.33191122744232,"unknown function, hypothetical protein",['Cell Division & Chromosome Partitioning'],Low,No functional annotation or domain detected; likely a hypothetical protein with unknown function.,BFJEKD_01450,"['unknown function', 'hypothetical protein']",BFJEKD_01460,"['hypothetical protein', 'unknown function']"
BFJEKD_01750,DUF2249 domain-containing protein,-5.9243423174652,"DUF2249, unknown function",['Unknown & Hypothetical Proteins'],Low,"No functional annotation available; domain DUF2249 is uncharacterized, limiting functional inference.",BFJEKD_01745,"['glycerophosphodiester phosphodiesterase', 'phosphodiesterase', 'membrane-associated enzyme']",BFJEKD_01755,"['respiratory oxidase', 'electron transport', 'membrane protein']"
