Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_14710,ferritin-like domain-containing protein,,-6.33791747704043,,"iron storage, ferritin-like protein","['Protein Folding, Quality Control & Stress Response']",Medium,Annotated as ferritin-like protein involved in iron storage; no KO or EC; COG category supports iron metabolism function.
BFJEKD_12485,Mannose-6-phosphate isomerase,K01809,-6.24294449110479,"Fructose and mannose metabolism, Galactose metabolism","carbohydrate metabolism, mannose metabolism, isomerase enzyme",['Unknown & Hypothetical Proteins'],High,"Comprehensive annotation with KO, EC, GO, COG, and PFAM; key enzyme in sugar metabolism pathways."
BFJEKD_01750,DUF2249 domain-containing protein,,-5.9243423174652,,"DUF2249, unknown function",['Unknown & Hypothetical Proteins'],Low,"No functional annotation available; domain DUF2249 is uncharacterized, limiting functional inference."
BFJEKD_09890,Uncharacterized protein,,-5.57026250370685,,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.
BFJEKD_15455,Hyperosmotically inducible periplasmic protein OsmY,K04065,-5.33682766001408,,"stress response, periplasmic protein, membrane-associated",['Unknown & Hypothetical Proteins'],Medium,"Protein involved in osmotic stress response, periplasmic localization; lacks EC and GO annotations but KO and COG support function."
BFJEKD_03110,"Propeptide, PepSY and peptidase M4 domain containing protein",,-5.19513268239461,,"peptidase, proteolysis, protein maturation",['Amino Acid Biosynthesis'],Low,"No KO, COG, or PFAM domains identified; product name suggests presence of PepSY and peptidase M4 domains but no direct evidence; annotation incomplete."
BFJEKD_03650,LTXXQ motif family protein,,-5.1906381860295,,"uncharacterized, periplasmic protein, motif-containing protein",['Toxin-Antitoxin & Phage Defense'],Low,"Limited annotation; only GO term indicates periplasmic localization. No KO, EC, or COG data available. Functional grouping uncertain."
BFJEKD_01440,Phage-related protein,,-5.1267650867517,,"phage-related, viral protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,Annotated as bacteriophage related domain but no further functional or domain info available.
BFJEKD_09895,Uncharacterized protein,,-5.0849524713057,,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; sequence does not match known families.
BFJEKD_18315,Hypothetical protein,,-4.96898744610232,,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation or domain detected; sequence too short for confident prediction.
BFJEKD_15975,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase",K16147,-4.94702207471513,Starch and sucrose metabolism,"glycogen biosynthesis, carbohydrate metabolism, starch metabolism, transferase",['Toxin-Antitoxin & Phage Defense'],High,"Enzyme involved in branched alpha-glucan biosynthesis. KO, EC, COG, PFAM, and GO annotations consistent. Important for carbohydrate metabolism and storage compound grouping."
BFJEKD_18320,PRC domain-containing protein,,-4.93618097515978,,"PRC domain, signal transduction, regulatory protein",['Toxin-Antitoxin & Phage Defense'],Medium,"PRC domain often involved in regulatory or signal transduction functions; no KO or COG assigned, no PFAM detected but domain name suggests function."
BFJEKD_09875,Uncharacterized protein,,-4.92679945943838,,unknown function,['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; sequence too short for confident prediction.
BFJEKD_09375,hypothetical protein,,-4.92501708885689,,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; exclude or treat cautiously in downstream analyses.
BFJEKD_13495,Nitric oxide response protein NnrS,K07234,-4.92358591445509,Nitrogen metabolism,"nitric oxide response, signal transduction, stress response",['Secretion & Transport Systems'],Medium,"NnrS is involved in nitric oxide response; KO and COG support function, but no GO terms assigned."
BFJEKD_01755,Heme-copper respiratory oxidase subunit (putative),,-4.80325777414273,,"respiratory oxidase, electron transport, membrane protein","['Cell Wall & Envelope Biogenesis', 'Membrane Transporter']",Medium,Annotated as member of heme-copper respiratory oxidase family based on description and sequence features; no KO or PFAM domains available.
BFJEKD_16185,UPF0127 family protein (uncharacterized),K09005,-4.79840713400397,,"uncharacterized protein, DUF192, unknown function",['Secretion & Transport Systems'],Low,No functional GO terms or EC numbers; KO suggests possible but unconfirmed function; treat cautiously in grouping and DE analysis.
BFJEKD_01450,Uncharacterized protein,,-4.79796595087257,,"unknown function, hypothetical protein",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence does not match known PFAM domains.
BFJEKD_09870,hypothetical protein,,-4.72023513934129,,"unknown function, hypothetical protein",['Polyhydroxyalkanoates & Storage Lipids'],Low,No annotation or domain information available; function unknown.
BFJEKD_04505,Hypothetical protein,,-4.69989917875826,,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; sequence contains histidine-rich repeats suggesting possible metal binding but no confident assignment.
