Locus_Tag,Protein Name,log2FC,Tags_list,Subcategories,Confidence_Score,Notes,upstream_Locus_Tag,upstream_tags,downstream_Locus_Tag,downstream_tags
BFJEKD_01415,Hypothetical protein,-3.4755278102344,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available. Consider as unknown for grouping and DE analysis.,BFJEKD_01410,"['cellulose degradation', 'carbohydrate metabolism', 'extracellular enzyme']",BFJEKD_01420,['unknown function']
BFJEKD_01420,Hypothetical protein,-2.93038531532816,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available. Sequence does not match known domains or pathways.,BFJEKD_01415,['unknown function'],BFJEKD_01425,['unknown function']
BFJEKD_01425,Hypothetical protein,-3.40940606173036,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available.,BFJEKD_01420,['unknown function'],BFJEKD_01430,['unknown function']
BFJEKD_01430,Hypothetical protein,-3.93080518923903,unknown function,['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain information available.,BFJEKD_01425,['unknown function'],BFJEKD_01435,"['unknown function', 'hypothetical protein']"
BFJEKD_01445,Uncharacterized protein,-3.91954325637162,"unknown function, hypothetical protein",['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; likely a hypothetical protein with unknown function.,BFJEKD_01440,"['phage-related', 'viral protein', 'unknown function']",BFJEKD_01450,"['unknown function', 'hypothetical protein']"
BFJEKD_01450,Uncharacterized protein,-4.1356368431656,"unknown function, hypothetical protein",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence does not match known PFAM domains.,BFJEKD_01445,"['unknown function', 'hypothetical protein']",BFJEKD_01455,"['unknown function', 'hypothetical protein']"
BFJEKD_01455,Uncharacterized protein,-3.84323449329148,"unknown function, hypothetical protein",['Cell Division & Chromosome Partitioning'],Low,No functional annotation or domain detected; likely a hypothetical protein with unknown function.,BFJEKD_01450,"['unknown function', 'hypothetical protein']",BFJEKD_01460,"['hypothetical protein', 'unknown function']"
BFJEKD_01750,DUF2249 domain-containing protein,-5.59694453959133,"DUF2249, unknown function",['Unknown & Hypothetical Proteins'],Low,"No functional annotation available; domain DUF2249 is uncharacterized, limiting functional inference.",BFJEKD_01745,"['glycerophosphodiester phosphodiesterase', 'phosphodiesterase', 'membrane-associated enzyme']",BFJEKD_01755,"['respiratory oxidase', 'electron transport', 'membrane protein']"
BFJEKD_02530,hypothetical protein,1.13516079678893,unknown function,['Amino Acid Biosynthesis'],Low,"No functional annotation available; sequence rich in repetitive glycine/proline motifs; no GO, KO, EC, COG, or PFAM domains detected.",BFJEKD_02525,"['membrane transporter', 'heavy metal transport', 'P-type ATPase', 'cation transport']",BFJEKD_02535,"['magnetosome protein', 'biomineralization', 'magnetotaxis']"
BFJEKD_02985,hypothetical protein,-1.41806892869905,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,"No functional annotation available; lacks KO, EC, GO, COG, and PFAM domains; consider for further experimental characterization.",BFJEKD_02980,"['transcription elongation', 'RNA polymerase', 'transcription regulation']",BFJEKD_02990,"['toxin-antitoxin system', 'RNase', 'toxin']"
BFJEKD_04105,VanZ-like family protein,-1.48325423942904,"unknown function, VanZ-like protein",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domains detected; function remains unknown.,BFJEKD_04100,"['glycosyltransferase', 'cell wall biosynthesis', 'carbohydrate metabolism']",BFJEKD_04110,"['glycosyltransferase', 'cell wall biosynthesis', 'carbohydrate metabolism']"
BFJEKD_04505,Hypothetical protein,-3.93721630771728,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; sequence contains histidine-rich repeats suggesting possible metal binding but no confident assignment.,BFJEKD_04500,"['electron transport', 'membrane protein', 'heme binding']",BFJEKD_04510,"['peptidase regulation', 'metallopeptidase inhibitor', 'protein domain']"
BFJEKD_05600,hypothetical protein,1.83207481009953,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; treat as unknown in downstream analyses.",BFJEKD_05595,"['cell wall biosynthesis', 'penicillin-binding protein', 'membrane enzyme', 'peptidoglycan synthesis']",BFJEKD_05605,"['two-component system', 'response regulator', 'transcription regulation', 'signal transduction']"
BFJEKD_05615,hypothetical protein,2.67855245105128,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_05610,"['quorum sensing', 'autoinducer synthase', 'signal transduction', 'cell-cell communication']",BFJEKD_05620,"['transcriptional regulator', 'XRE family', 'DNA binding', 'regulation of gene expression']"
BFJEKD_05990,Hypothetical protein,-3.73775396551927,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,"No functional annotation available; no KO, EC, GO, COG, or PFAM domains detected; may require experimental characterization or further computational analysis.",BFJEKD_05985,"['transcriptional regulator', 'AsnC family', 'DNA binding']",BFJEKD_05995,"['hypothetical protein', 'unknown function']"
BFJEKD_06105,Hypothetical protein,1.05903659196374,unknown function,['Secretion & Transport Systems'],Low,No functional annotation or domain detected; remains hypothetical.,BFJEKD_06100,"['signal transduction', 'cAMP metabolism', 'phosphodiesterase']",BFJEKD_06110,"['two-component system', 'chemotaxis', 'signal transduction']"
BFJEKD_06440,DUF1178 domain-containing protein,-1.14183443838869,"unknown function, DUF protein",['Toxin-Antitoxin & Phage Defense'],Low,Protein of unknown function; no KO or GO annotations; may require experimental validation or further bioinformatic analysis.,BFJEKD_06435,"['molecular chaperone', 'protein folding', 'heat shock response']",BFJEKD_06445,"['DNA repair', 'photolyase', 'DNA damage response']"
