Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_12520,Aldehyde dehydrogenase,"K00128, K00138",9.29629100420984,"Pyruvate metabolism, Glycolysis / Gluconeogenesis","aldehyde dehydrogenase, oxidoreductase, energy metabolism, NAD-dependent enzyme",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, EC, and PFAM domain consistent; involved in aldehyde oxidation and energy metabolism pathways."
BFJEKD_12515,L-threonine dehydrogenase,K13954,7.89439977885867,"Glycine, serine and threonine metabolism","amino acid metabolism, threonine degradation, alcohol dehydrogenase",['Amino Acid Biosynthesis'],High,KO K13954 and EC 1.1.1.1 confirm L-threonine dehydrogenase function; extensive GO terms and PFAM Fe-ADH domain support annotation.
BFJEKD_03555,Carbon starvation protein A (CstA),K06200,7.5057812104383,ABC transporters,"membrane transporter, carbon starvation, stress response",['Toxin-Antitoxin & Phage Defense'],High,Well annotated transporter involved in carbon starvation response; important for stress-related expression analysis.
BFJEKD_03550,Formate acetyltransferase (Pyruvate formate lyase),K00656,7.03864470585764,Pyruvate metabolism,"pyruvate metabolism, anaerobic fermentation, acetyltransferase, energy metabolism","['Protein Folding, Quality Control & Stress Response']",High,"Complete annotation with KO, EC, GO, COG, and PFAM domains consistent with pyruvate formate lyase function; suitable for grouping under anaerobic energy metabolism."
BFJEKD_09315,Formate hydrogenlyase subunit HyfC,K02135,6.49544676687033,Oxidative phosphorylation,"membrane transporter, NADH dehydrogenase, energy metabolism",['Toxin-Antitoxin & Phage Defense'],High,"Subunit of formate hydrogenlyase complex, involved in electron transport and energy metabolism."
BFJEKD_03545,pyruvate formate-lyase-activating protein,K04069,6.25992361528334,Pyruvate metabolism,"anaerobic metabolism, radical SAM enzyme, pyruvate metabolism",['Cell Wall & Envelope Biogenesis'],High,Strong evidence for role in anaerobic activation of pyruvate formate-lyase; Radical SAM domain confirms radical-based mechanism.
BFJEKD_09335,Hydrogenase subunit mbhJ,K18023,6.13022573288904,Methane metabolism,"hydrogenase, membrane protein, energy metabolism, electron transport",['Unknown & Hypothetical Proteins'],High,Membrane-bound hydrogenase subunit involved in electron transfer and energy metabolism.
BFJEKD_09345,Electron transport protein HydN (4Fe-4S dicluster domain),"K00196, K05796",5.87569352531769,"Methane metabolism, Carbon fixation pathways in prokaryotes","electron transport, iron-sulfur protein, redox",['Secretion & Transport Systems'],Medium,KO terms indicate involvement in electron transport; no EC or GO terms assigned; PFAM domains confirm iron-sulfur cluster binding.
BFJEKD_09325,Hydrogenase-4 membrane subunit HyfE,K12140,5.85726136142248,Methane metabolism,"hydrogenase, membrane transporter, energy metabolism, formate hydrogenlyase complex",['Cell Wall & Envelope Biogenesis'],High,"Component of hydrogenase-4 complex, involved in proton translocation and energy metabolism."
BFJEKD_03540,acetate kinase,K00925,5.61317268323038,Pyruvate metabolism,"acetate metabolism, energy production, kinase",['Cell Wall & Envelope Biogenesis'],High,"Well-annotated acetate kinase involved in energy metabolism; consistent KO, EC, GO, COG, and PFAM data."
BFJEKD_09340,"Ni,Fe-hydrogenase maturation factor (HycI)",K08315,5.60888816626149,Methane metabolism,"hydrogenase maturation, protease, energy metabolism",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, EC, GO, and PFAM domains; relevant for hydrogenase complex assembly and energy metabolism."
BFJEKD_09350,Formate dehydrogenase subunit alpha,K22015,5.48303938576463,"Methane metabolism, Sulfur metabolism","formate dehydrogenase, energy metabolism, oxidoreductase",['Secretion & Transport Systems'],High,"Well-annotated with KO, EC, GO, and PFAM domains; key enzyme in formate oxidation and energy metabolism."
BFJEKD_09355,"GTP 3',8-cyclase MoaA",K03639,5.21743532188122,One carbon pool by folate,"molybdenum cofactor biosynthesis, radical SAM enzyme, cofactor metabolism",['Secretion & Transport Systems'],High,"Complete annotation with KO, EC, GO, and PFAM; essential for molybdenum cofactor biosynthesis, important for enzymes like formate dehydrogenase."
BFJEKD_14370,Trimethylamine-N-oxide reductase TorA,"K07812, K08351",5.16262777712823,"Sulfur metabolism, Nitrogen metabolism","molybdoenzyme, oxidoreductase, anaerobic respiration, TMAO reductase, electron transport",['Polyhydroxyalkanoates & Storage Lipids'],High,Well-annotated molybdoenzyme involved in anaerobic respiration using TMAO as electron acceptor; multiple GO terms and KO IDs support function.
BFJEKD_08970,AraC-type DNA-binding domain-containing protein,,4.78470056931289,,"transcription regulator, DNA-binding, AraC family",['Polyhydroxyalkanoates & Storage Lipids'],High,"Well-annotated AraC family transcriptional regulator; important for gene expression control, useful for grouping under transcriptional regulation."
