Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_15070,Anaerobic carbon-monoxide dehydrogenase catalytic subunit (cooS),K00198,6.75911862121014,Carbon fixation pathways in prokaryotes,"carbon monoxide dehydrogenase, catalytic subunit, energy metabolism, CO oxidation","['Protein Folding, Quality Control & Stress Response']",High,"Key catalytic subunit of anaerobic CO dehydrogenase complex, central to CO metabolism and energy conservation."
BFJEKD_15040,Hydrogenase subunit HyfC (NADH dehydrogenase),K00337,6.44026885448874,"Oxidative phosphorylation, Carbon fixation pathways in prokaryotes","hydrogenase, NADH dehydrogenase, energy metabolism, oxidative phosphorylation",['Unknown & Hypothetical Proteins'],High,KO and EC consistent with NADH dehydrogenase function; extensive GO terms support role in energy metabolism and membrane localization.
BFJEKD_15045,NADH-quinone oxidoreductase subunit B (mbhJ),K18023,6.22855015449732,Oxidative phosphorylation,"membrane-bound hydrogenase, NADH-quinone oxidoreductase, energy metabolism, oxidative phosphorylation",['Amino Acid Biosynthesis'],High,KO and EC confirm function as membrane-bound hydrogenase subunit; GO terms support electron transport and membrane localization.
BFJEKD_15050,4Fe-4S ferredoxin (NuoI subunit),,6.2013877381001,,"ferredoxin, iron-sulfur protein, electron transfer, energy metabolism",['Amino Acid Biosynthesis'],Medium,Typical iron-sulfur cluster protein involved in electron transfer; lacks KO and EC but COG and PFAM support function.
BFJEKD_15065,Anaerobic carbon-monoxide dehydrogenase iron-sulfur subunit (cooF),"K00196, K05796",5.71420829953181,"Carbon fixation pathways in prokaryotes, Sulfur metabolism","iron-sulfur protein, electron transfer, CO dehydrogenase complex, energy metabolism",['Cell Wall & Envelope Biogenesis'],High,"Iron-sulfur cluster protein subunit of anaerobic CO dehydrogenase complex, essential for electron transfer."
BFJEKD_15075,Carbon monoxide dehydrogenase accessory protein CooC,K07321,5.23767152165595,,"CO dehydrogenase accessory protein, maturation factor, ATPase, protein assembly",['Toxin-Antitoxin & Phage Defense'],High,Accessory protein involved in maturation and assembly of CO dehydrogenase complex; important for enzyme functionality.
BFJEKD_10760,Phosphate ABC transporter substrate-binding protein PstS,K02040,4.74383690292691,Phosphonate and phosphinate metabolism,"phosphate transport, ABC transporter, substrate-binding protein, membrane transporter",['Toxin-Antitoxin & Phage Defense'],High,Well-annotated phosphate ABC transporter substrate-binding protein; key component of phosphate uptake system.
BFJEKD_15035,Multisubunit Na+/H+ antiporter subunit MnhD,,4.69851469567007,,"membrane transporter, Na+/H+ antiporter, ion transport",['Amino Acid Biosynthesis'],Medium,"Likely part of Na+/H+ antiporter complex; no KO or EC assigned, but PFAM and COG support transporter function."
BFJEKD_15060,Carbon monoxide-induced hydrogenase subunit E (cooH),K14090,4.68167531933084,Sulfur metabolism,"hydrogenase, energy metabolism, NiFe hydrogenase, electron transfer",['Cell Wall & Envelope Biogenesis'],High,Nickel-dependent hydrogenase subunit involved in CO metabolism and energy conservation.
BFJEKD_02545,Transposase InsA,K07488,4.62505655290637,DNA transposase,"transposase, mobile genetic element, DNA transposition",['Cell Wall & Envelope Biogenesis'],High,KO and COG consistent with transposase function; no EC or GO terms but strong evidence from KO and COG.
BFJEKD_15055,NADH dehydrogenase subunit C (nuoC),K00336,4.53973548177536,Oxidative phosphorylation,"respiratory chain, membrane transporter, NADH dehydrogenase, energy metabolism",['Protein Processing & Degradation'],High,Subunit of respiratory complex I; involved in electron transport chain and proton translocation.
BFJEKD_15085,hypothetical protein,,4.00436713958198,,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; sequence contains histidine-rich region possibly metal-binding but unconfirmed.
BFJEKD_11720,2-hydroxy-acid oxidase,K00102,3.94576608409352,Oxidative phosphorylation,"oxidoreductase, electron transport, energy metabolism, FAD-dependent enzyme",['Amino Acid Biosynthesis'],High,Well-annotated enzyme involved in oxidative phosphorylation; important for energy metabolism grouping.
BFJEKD_18895,Branched-chain amino acid ABC transporter substrate-binding protein,K01999,3.8505871782374,ABC transporters,"amino acid transporter, ABC transporter, membrane transport",['Secretion & Transport Systems'],High,Complete annotation for branched-chain amino acid transporter substrate-binding protein; relevant for amino acid uptake and transporter system analyses.
BFJEKD_11735,"ABC-type amino acid transport system, permease component",K09970,3.65625355469019,ABC transporters,"amino acid transport, ABC transporter, permease, membrane transporter",['Cell Wall & Envelope Biogenesis'],High,Well annotated permease component of ABC amino acid transporter; multiple GO terms confirm membrane and transporter activity.
BFJEKD_04665,Hypothetical protein,,3.63425682554552,,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation or domain information available; likely uncharacterized protein.
