Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_09285,FdhC protein (formate/nitrite transporter),K21993,10.0226295564097,Nitrogen metabolism,"formate transporter, membrane transporter, nitrogen metabolism",['Amino Acid Biosynthesis'],High,Well-annotated transporter with KO and GO terms; important for nitrogen and formate metabolism; relevant for grouping transport proteins.
BFJEKD_12520,Aldehyde dehydrogenase,"K00128, K00138",9.33936592314967,"Pyruvate metabolism, Glycolysis / Gluconeogenesis","aldehyde dehydrogenase, oxidoreductase, energy metabolism, NAD-dependent enzyme",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, EC, and PFAM domain consistent; involved in aldehyde oxidation and energy metabolism pathways."
BFJEKD_09275,Fe-S-cluster-containing hydrogenase component 2,"K00196, K05796, K25124",9.23175625204736,"Methane metabolism, Sulfur metabolism","electron transfer, iron-sulfur protein, hydrogenase component",['Amino Acid Biosynthesis'],Medium,Multiple KO terms related to hydrogenase components; no GO or EC terms; PFAM confirms Fe-S cluster domain; useful for grouping electron transfer proteins.
BFJEKD_09280,Iron only hydrogenase large subunit,K18006,8.8555357665739,Methane metabolism,"hydrogenase, oxidoreductase, iron-sulfur cluster, energy metabolism",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, EC, GO, and PFAM domains; key enzyme in hydrogen metabolism; important for functional grouping."
BFJEKD_03555,Carbon starvation protein A (CstA),K06200,7.67761863059383,ABC transporters,"membrane transporter, carbon starvation, stress response",['Toxin-Antitoxin & Phage Defense'],High,Well annotated transporter involved in carbon starvation response; important for stress-related expression analysis.
BFJEKD_09300,Hydrogenase 4 subunit D (NADH-Ubiquinone oxidoreductase chain 5),K12139,7.49361802145394,Oxidative phosphorylation,"hydrogenase, respiratory complex I, proton transporter, energy metabolism",['Cell Wall & Envelope Biogenesis'],High,KO and PFAM domains confirm role in respiratory complex I; extensive GO terms support proton transport and energy metabolism.
BFJEKD_12515,L-threonine dehydrogenase,K13954,7.4657083306419,"Glycine, serine and threonine metabolism","amino acid metabolism, threonine degradation, alcohol dehydrogenase",['Amino Acid Biosynthesis'],High,KO K13954 and EC 1.1.1.1 confirm L-threonine dehydrogenase function; extensive GO terms and PFAM Fe-ADH domain support annotation.
BFJEKD_03550,Formate acetyltransferase (Pyruvate formate lyase),K00656,7.39208257591626,Pyruvate metabolism,"pyruvate metabolism, anaerobic fermentation, acetyltransferase, energy metabolism","['Protein Folding, Quality Control & Stress Response']",High,"Complete annotation with KO, EC, GO, COG, and PFAM domains consistent with pyruvate formate lyase function; suitable for grouping under anaerobic energy metabolism."
BFJEKD_03545,pyruvate formate-lyase-activating protein,K04069,6.79675769256972,Pyruvate metabolism,"anaerobic metabolism, radical SAM enzyme, pyruvate metabolism",['Cell Wall & Envelope Biogenesis'],High,Strong evidence for role in anaerobic activation of pyruvate formate-lyase; Radical SAM domain confirms radical-based mechanism.
BFJEKD_09315,Formate hydrogenlyase subunit HyfC,K02135,6.45435973230915,Oxidative phosphorylation,"membrane transporter, NADH dehydrogenase, energy metabolism",['Toxin-Antitoxin & Phage Defense'],High,"Subunit of formate hydrogenlyase complex, involved in electron transport and energy metabolism."
BFJEKD_09310,Hydrogenase 3 large subunit,,6.27864144169492,Methane metabolism,"hydrogenase, NiFe hydrogenase, energy metabolism, electron transfer","['Protein Folding, Quality Control & Stress Response']",High,PFAM domains and GO terms confirm NiFe hydrogenase function; involved in hydrogen metabolism and energy conversion.
BFJEKD_09325,Hydrogenase-4 membrane subunit HyfE,K12140,6.15057665962832,Methane metabolism,"hydrogenase, membrane transporter, energy metabolism, formate hydrogenlyase complex",['Cell Wall & Envelope Biogenesis'],High,"Component of hydrogenase-4 complex, involved in proton translocation and energy metabolism."
BFJEKD_09335,Hydrogenase subunit mbhJ,K18023,5.88908258586718,Methane metabolism,"hydrogenase, membrane protein, energy metabolism, electron transport",['Unknown & Hypothetical Proteins'],High,Membrane-bound hydrogenase subunit involved in electron transfer and energy metabolism.
BFJEKD_03540,acetate kinase,K00925,5.64885993579569,Pyruvate metabolism,"acetate metabolism, energy production, kinase",['Cell Wall & Envelope Biogenesis'],High,"Well-annotated acetate kinase involved in energy metabolism; consistent KO, EC, GO, COG, and PFAM data."
BFJEKD_14370,Trimethylamine-N-oxide reductase TorA,"K07812, K08351",5.46772975480359,"Sulfur metabolism, Nitrogen metabolism","molybdoenzyme, oxidoreductase, anaerobic respiration, TMAO reductase, electron transport",['Polyhydroxyalkanoates & Storage Lipids'],High,Well-annotated molybdoenzyme involved in anaerobic respiration using TMAO as electron acceptor; multiple GO terms and KO IDs support function.
BFJEKD_15105,quinolinate synthase NadA,K03517,5.3307501734316,Nicotinate and nicotinamide metabolism,"NAD biosynthesis, coenzyme metabolism, ligase enzyme",['Secretion & Transport Systems'],High,"Complete annotation with KO, EC, GO, and PFAM consistent; key enzyme in NAD biosynthesis pathway."
BFJEKD_15100,L-aspartate oxidase,K00278,5.01441690911151,Nicotinate and nicotinamide metabolism,"NAD biosynthesis, oxidoreductase, energy metabolism, L-aspartate oxidation",['Unknown & Hypothetical Proteins'],High,Well-annotated enzyme involved in NAD biosynthesis and energy metabolism.
BFJEKD_05610,autoinducer synthase,K13061,4.86988805248916,Quorum sensing,"quorum sensing, autoinducer synthase, signal transduction, cell-cell communication",['Cell Wall & Envelope Biogenesis'],High,"Complete annotation with KO, EC, GO, COG, and PFAM; key enzyme in quorum sensing autoinducer synthesis; relevant for studies on bacterial communication and regulation."
BFJEKD_00540,phosphoribulokinase,K00855,4.80477135057276,Carbon fixation in photosynthetic organisms,"carbon fixation, Calvin cycle, kinase, phosphoribulokinase",['DNA Repair & Recombination'],High,"Key enzyme catalyzing phosphorylation of ribulose-5-phosphate in Calvin cycle; well supported by KO, EC, GO, COG, and PFAM."
BFJEKD_15095,carboxylating nicotinate-nucleotide diphosphorylase,K00767,4.68151884731796,Nicotinate and nicotinamide metabolism,"NAD biosynthesis, nicotinate metabolism, carboxylase, coenzyme metabolism",['Unknown & Hypothetical Proteins'],High,Complete and consistent annotation; involved in NAD biosynthesis pathway.
BFJEKD_05615,hypothetical protein,,4.61956549569491,,"hypothetical protein, unknown function",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.
BFJEKD_08970,AraC-type DNA-binding domain-containing protein,,4.41561197797328,,"transcription regulator, DNA-binding, AraC family",['Polyhydroxyalkanoates & Storage Lipids'],High,"Well-annotated AraC family transcriptional regulator; important for gene expression control, useful for grouping under transcriptional regulation."
BFJEKD_00545,transketolase,K00615,4.37794703078147,Pentose phosphate pathway,"pentose phosphate pathway, carbohydrate metabolism, thiamine pyrophosphate-dependent enzyme",['Amino Acid Biosynthesis'],High,"Complete annotation with KO, EC, COG, PFAM and relevant GO terms; key enzyme in pentose phosphate pathway, important for grouping in carbohydrate metabolism and differential expression under metabolic shifts."
BFJEKD_00520,ribulose-bisphosphate carboxylase large chain,K01601,4.34203859190932,Carbon fixation in photosynthetic organisms,"carbon fixation, Calvin cycle, carboxylase, photosynthesis enzyme",['Photosynthesis & Carbon Concentrating'],High,"Key enzyme in Calvin cycle, essential for CO2 fixation; strong annotation with KO, EC, GO, COG, and PFAM domains."
BFJEKD_00535,class 1 fructose-bisphosphatase,"K01086, K03841",4.3291835002082,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle)","gluconeogenesis, fructose metabolism, phosphatase","['Protein Folding, Quality Control & Stress Response']",High,"Catalyzes fructose-1,6-bisphosphate hydrolysis in gluconeogenesis; dual KO suggests possible isoforms or related enzymes."
BFJEKD_14375,"GTP 3',8-cyclase MoaA",K03639,4.25889079885634,Molybdenum cofactor biosynthesis,"molybdenum cofactor biosynthesis, radical SAM enzyme, GTP cyclase, coenzyme biosynthesis",['Unknown & Hypothetical Proteins'],High,Key enzyme in molybdenum cofactor biosynthesis; radical SAM domain and iron-sulfur cluster domains support function; KO and EC consistent.
BFJEKD_08685,Hypothetical protein,,4.21816271693493,,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation available. Sequence and domain searches did not yield informative hits. Consider experimental validation or further computational analysis.
BFJEKD_05480,Permease of the drug/metabolite transporter (DMT) superfamily,,4.1329855869105,,"membrane transporter, DMT superfamily, permease, solute transport",['Secretion & Transport Systems'],Medium,Predicted transporter of drug/metabolite substrates; no KO or EC available; important for transport-related functional grouping.
BFJEKD_00530,ribulose-phosphate 3-epimerase,K01783,4.08889434332014,Pentose phosphate pathway,"pentose phosphate pathway, carbohydrate metabolism, epimerase",['Two-Component Systems & Signal Transduction'],High,"Involved in sugar phosphate interconversion in pentose phosphate pathway; well annotated with KO, EC, GO, COG, and PFAM."
BFJEKD_08975,NAD(P)-dependent alcohol dehydrogenase,K05351,3.99228202449682,"Pentose and glucuronate interconversions, Glycolysis / Gluconeogenesis","oxidoreductase, alcohol metabolism, NAD(P)-dependent enzyme",['Unknown & Hypothetical Proteins'],High,KO to EC mapping confirms EC number; involved in alcohol metabolism and energy production; relevant for metabolic pathway grouping.
BFJEKD_19070,TfoX-N domain-containing protein,,3.9489756747737,,"competence, DNA uptake, signal transduction",['Secretion & Transport Systems'],Low,"Protein likely involved in natural competence regulation based on product name and COG category; lacks KO, EC, GO, and PFAM annotations, limiting annotation confidence."
